timestamp_America_Phoenix,gpu_temp_c,sm_clock,memory_clock,power,utilization,sw_thermal_slowdown,hw_thermal_slowdown,sw_power_cap
2026/09/08 00:45:21.802,74,2496 MHz,[N/A],58.41 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:45:26.804,74,2496 MHz,[N/A],44.50 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:31.805,74,2496 MHz,[N/A],44.70 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:36.807,68,2405 MHz,[N/A],15.28 W,0 %,Not Active,Not Active,Not Active
2026/09/08 00:45:41.808,75,2489 MHz,[N/A],62.49 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:46.810,77,2483 MHz,[N/A],63.28 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:51.811,78,2483 MHz,[N/A],63.78 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:45:56.813,74,2496 MHz,[N/A],44.31 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:01.814,73,2496 MHz,[N/A],43.87 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:06.814,73,2496 MHz,[N/A],43.97 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:11.815,74,2489 MHz,[N/A],60.56 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:16.816,74,2489 MHz,[N/A],62.92 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:21.817,76,2489 MHz,[N/A],61.72 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:26.818,77,2489 MHz,[N/A],62.24 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:31.819,74,2496 MHz,[N/A],47.04 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:46:36.820,74,2496 MHz,[N/A],47.22 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:41.821,74,2496 MHz,[N/A],47.38 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:51.824,73,2489 MHz,[N/A],36.54 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:46:56.824,76,2489 MHz,[N/A],62.02 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:01.825,79,2483 MHz,[N/A],62.58 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:06.826,77,2483 MHz,[N/A],63.59 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:11.827,77,2489 MHz,[N/A],61.86 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:16.828,78,2489 MHz,[N/A],62.43 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:21.829,80,2489 MHz,[N/A],62.81 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:26.831,77,2489 MHz,[N/A],59.95 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:47:31.831,75,2496 MHz,[N/A],47.21 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:47:36.832,75,2496 MHz,[N/A],47.23 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:41.833,74,2496 MHz,[N/A],44.71 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:51.835,76,2489 MHz,[N/A],60.95 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:47:56.836,76,2489 MHz,[N/A],62.30 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:01.837,77,2489 MHz,[N/A],61.69 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:06.839,77,2489 MHz,[N/A],60.47 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:11.840,79,2489 MHz,[N/A],61.51 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:16.841,78,2489 MHz,[N/A],59.97 W,95 %,Not Active,Not Active,Not Active
2026/09/08 00:48:21.842,78,2489 MHz,[N/A],62.22 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:26.843,76,2496 MHz,[N/A],50.26 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:31.844,76,2496 MHz,[N/A],50.34 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:36.845,76,2496 MHz,[N/A],50.53 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:41.847,76,2496 MHz,[N/A],49.59 W,96 %,Not Active,Not Active,Not Active
2026/09/08 00:48:46.847,75,2496 MHz,[N/A],44.59 W,96 %,Not Active,Not Active,Not Active
